* Measurement data measured by REW V5.20.4
* Source: Umik-1  Gain: 12dB  , MICROPHONE, L, volume: 1.000. Timing signal peak level -25.4 dBFS, measurement signal peak level -18.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jan 1, 2022 4:20:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0677 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: off axis
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 50.1709 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
224.853530, 73.606, -51.1602
225.219741, 73.573, -51.8116
225.585952, 73.538, -52.4586
225.952163, 73.504, -53.1009
226.318374, 73.468, -53.7382
226.684585, 73.432, -54.3704
227.050796, 73.395, -54.9970
227.417007, 73.358, -55.6182
227.783218, 73.320, -56.2338
228.149429, 73.282, -56.8438
228.515640, 73.244, -57.4482
228.881850, 73.205, -58.0471
229.248061, 73.166, -58.6405
229.614272, 73.127, -59.2286
229.980483, 73.088, -59.8115
230.346694, 73.049, -60.3892
230.712905, 73.009, -60.9620
231.079116, 72.970, -61.5300
231.445327, 72.930, -62.0934
231.811538, 72.891, -62.6523
232.177749, 72.851, -63.2068
232.543960, 72.812, -63.7573
232.910171, 72.772, -64.3036
233.276382, 72.733, -64.8462
233.642593, 72.693, -65.3851
234.008804, 72.654, -65.9204
234.375015, 72.615, -66.4523
234.741226, 72.575, -66.9810
235.107437, 72.536, -67.5065
235.473648, 72.497, -68.0291
235.839859, 72.458, -68.5488
236.206070, 72.419, -69.0658
236.572281, 72.380, -69.5801
236.938492, 72.341, -70.0919
237.304703, 72.302, -70.6013
237.670914, 72.263, -71.1083
238.037125, 72.225, -71.6132
238.403336, 72.186, -72.1159
238.769547, 72.148, -72.6166
239.135758, 72.109, -73.1153
239.501969, 72.071, -73.6122
239.868180, 72.033, -74.1075
240.234390, 71.995, -74.6012
240.600601, 71.957, -75.0935
240.966812, 71.920, -75.5845
241.333023, 71.882, -76.0745
241.699234, 71.845, -76.5637
242.065445, 71.808, -77.0522
242.431656, 71.772, -77.5403
242.797867, 71.735, -78.0285
243.164078, 71.700, -78.5169
243.530289, 71.664, -79.0060
243.896500, 71.629, -79.4962
244.262711, 71.595, -79.9878
244.628922, 71.561, -80.4814
244.995133, 71.528, -80.9776
245.361344, 71.496, -81.4768
245.727555, 71.464, -81.9797
246.093766, 71.433, -82.4869
246.459977, 71.403, -82.9992
246.826188, 71.374, -83.5172
247.192399, 71.346, -84.0417
247.558610, 71.318, -84.5737
247.924821, 71.292, -85.1137
248.291032, 71.266, -85.6628
248.657243, 71.242, -86.2219
249.023454, 71.219, -86.7919
249.389665, 71.196, -87.3738
249.755876, 71.175, -87.9687
250.122087, 71.154, -88.5774
250.488298, 71.135, -89.2010
250.854509, 71.117, -89.8408
251.220719, 71.099, -90.4976
251.586930, 71.083, -91.1726
251.953141, 71.067, -91.8669
252.319352, 71.053, -92.5817
252.685563, 71.039, -93.3179
253.051774, 71.026, -94.0768
253.417985, 71.013, -94.8596
253.784196, 71.001, -95.6672
254.150407, 70.990, -96.5008
254.516618, 70.979, -97.3615
254.882829, 70.968, -98.2504
255.249040, 70.958, -99.1686
255.615251, 70.947, -100.1171
255.981462, 70.937, -101.0970
256.347673, 70.927, -102.1094
256.713884, 70.916, -103.1552
257.080095, 70.905, -104.2352
257.446306, 70.893, -105.3506
257.812517, 70.881, -106.5023
258.178728, 70.868, -107.6911
258.544939, 70.854, -108.9179
258.911150, 70.839, -110.1835
259.277361, 70.823, -111.4887
259.643572, 70.806, -112.8344
260.009783, 70.788, -114.2211
260.375994, 70.768, -115.6498
260.742205, 70.746, -117.1210
261.108416, 70.723, -118.6356
261.474627, 70.697, -120.1940
261.840838, 70.670, -121.7971
262.207049, 70.641, -123.4454
262.573259, 70.610, -125.1396
262.939470, 70.576, -126.8805
263.305681, 70.541, -128.6685
263.671892, 70.503, -130.5044
264.038103, 70.462, -132.3889
264.404314, 70.419, -134.3228
264.770525, 70.374, -136.3066
265.136736, 70.326, -138.3414
265.502947, 70.275, -140.4277
265.869158, 70.222, -142.5667
266.235369, 70.166, -144.7588
266.601580, 70.108, -147.0051
266.967791, 70.047, -149.3069
267.334002, 69.983, -151.6648
267.700213, 69.917, -154.0798
268.066424, 69.848, -156.5535
268.432635, 69.776, -159.0865
268.798846, 69.702, -161.6803
269.165057, 69.625, -164.3359
269.531268, 69.546, -167.0547
269.897479, 69.464, -169.8379
270.263690, 69.380, -172.6868
270.629901, 69.293, -175.6025
270.996112, 69.204, -178.5867
271.362323, 69.113, 178.3599
271.728534, 69.020, 175.2354
272.094745, 68.924, 172.0387
272.460956, 68.826, 168.7687
272.827167, 68.726, 165.4241
273.193378, 68.624, 162.0037
273.559588, 68.519, 158.5063
273.925799, 68.413, 154.9312
274.292010, 68.306, 151.2769
274.658221, 68.196, 147.5430
275.024432, 68.085, 143.7283
275.390643, 67.972, 139.8325
275.756854, 67.858, 135.8547
276.123065, 67.742, 131.7947
276.489276, 67.625, 127.6521
276.855487, 67.506, 123.4268
277.221698, 67.386, 119.1185
277.587909, 67.265, 114.7278
277.954120, 67.143, 110.2546
278.320331, 67.021, 105.6997
278.686542, 66.897, 101.0636
279.052753, 66.772, 96.3472
279.418964, 66.647, 91.5515
279.785175, 66.521, 86.6777
280.151386, 66.395, 81.7273
280.517597, 66.268, 76.7018
280.883808, 66.141, 71.6029
281.250019, 66.013, 66.4326
281.616230, 65.885, 61.1930
281.982441, 65.758, 55.8864
282.348652, 65.630, 50.5151
282.714863, 65.502, 45.0819
283.081074, 65.375, 39.5894
283.447285, 65.248, 34.0405
283.813496, 65.121, 28.4382
284.179707, 64.994, 22.7858
284.545918, 64.868, 17.0863
284.912128, 64.743, 11.3431
285.278339, 64.618, 5.5597
285.644550, 64.494, -0.2605
286.010761, 64.371, -6.1138
286.376972, 64.248, -11.9967
286.743183, 64.127, -17.9055
287.109394, 64.006, -23.8365
287.475605, 63.887, -29.7860
287.841816, 63.768, -35.7501
288.208027, 63.651, -41.7252
288.574238, 63.535, -47.7074
288.940449, 63.420, -53.6931
289.306660, 63.307, -59.6785
289.672871, 63.195, -65.6598
290.039082, 63.084, -71.6333
290.405293, 62.975, -77.5956
290.771504, 62.867, -83.5428
291.137715, 62.761, -89.4716
291.503926, 62.657, -95.3782
291.870137, 62.554, -101.2594
292.236348, 62.453, -107.1116
292.602559, 62.353, -112.9316
292.968770, 62.256, -118.7162
293.334981, 62.160, -124.4620
293.701192, 62.067, -130.1661
294.067403, 61.976, -135.8256
294.433614, 61.886, -141.4373
294.799825, 61.799, -146.9983
295.166036, 61.715, -152.5062
295.532247, 61.632, -157.9583
295.898457, 61.553, -163.3519
296.264668, 61.475, -168.6847
296.630879, 61.401, -173.9543
296.997090, 61.329, -179.1586
297.363301, 61.260, 175.7046
297.729512, 61.194, 170.6371
298.095723, 61.131, 165.6407
298.461934, 61.071, 160.7174
298.828145, 61.015, 155.8685
299.194356, 60.961, 151.0957
299.560567, 60.911, 146.4000
299.926778, 60.864, 141.7831
300.292989, 60.820, 137.2456
300.659200, 60.780, 132.7887
301.025411, 60.744, 128.4132
301.391622, 60.710, 124.1198
301.757833, 60.681, 119.9089
302.124044, 60.655, 115.7812
302.490255, 60.632, 111.7371
302.856466, 60.612, 107.7764
303.222677, 60.597, 103.8995
303.588888, 60.584, 100.1063
303.955099, 60.575, 96.3969
304.321310, 60.569, 92.7706
304.687521, 60.566, 89.2275
305.053732, 60.567, 85.7671
305.419943, 60.570, 82.3887
305.786154, 60.577, 79.0918
306.152365, 60.586, 75.8759
306.518576, 60.598, 72.7400
306.884787, 60.613, 69.6833
307.250997, 60.630, 66.7050
307.617208, 60.650, 63.8041
307.983419, 60.672, 60.9796
308.349630, 60.696, 58.2303
308.715841, 60.722, 55.5554
309.082052, 60.751, 52.9534
309.448263, 60.781, 50.4231
309.814474, 60.813, 47.9635
310.180685, 60.847, 45.5731
310.546896, 60.882, 43.2507
310.913107, 60.918, 40.9950
311.279318, 60.956, 38.8044
311.645529, 60.995, 36.6779
312.011740, 61.036, 34.6138
312.377951, 61.077, 32.6110
312.744162, 61.119, 30.6677
313.110373, 61.162, 28.7828
313.476584, 61.206, 26.9550
313.842795, 61.251, 25.1825
314.209006, 61.296, 23.4641
314.575217, 61.341, 21.7985
314.941428, 61.388, 20.1842
315.307639, 61.434, 18.6198
315.673850, 61.481, 17.1038
316.040061, 61.528, 15.6351
316.406272, 61.575, 14.2122
316.772483, 61.623, 12.8337
317.138694, 61.670, 11.4985
317.504905, 61.718, 10.2053
317.871116, 61.766, 8.9526
318.237327, 61.813, 7.7393
318.603537, 61.861, 6.5641
318.969748, 61.908, 5.4259
319.335959, 61.956, 4.3235
319.702170, 62.003, 3.2556
320.068381, 62.050, 2.2213
320.434592, 62.096, 1.2194
320.800803, 62.143, 0.2488
321.167014, 62.189, -0.6917
321.533225, 62.235, -1.6027
321.899436, 62.280, -2.4856
322.265647, 62.326, -3.3411
322.631858, 62.370, -4.1703
322.998069, 62.415, -4.9739
323.364280, 62.459, -5.7531
323.730491, 62.502, -6.5083
324.096702, 62.546, -7.2407
324.462913, 62.588, -7.9509
324.829124, 62.631, -8.6398
325.195335, 62.673, -9.3080
325.561546, 62.714, -9.9562
325.927757, 62.755, -10.5851
326.293968, 62.796, -11.1954
326.660179, 62.836, -11.7877
327.026390, 62.875, -12.3627
327.392601, 62.914, -12.9209
327.758812, 62.953, -13.4628
328.125023, 62.991, -13.9889
328.491234, 63.029, -14.4999
328.857445, 63.066, -14.9961
329.223656, 63.103, -15.4781
329.589866, 63.140, -15.9464
329.956077, 63.176, -16.4012
330.322288, 63.212, -16.8433
330.688499, 63.247, -17.2727
331.054710, 63.282, -17.6902
331.420921, 63.316, -18.0958
331.787132, 63.351, -18.4901
332.153343, 63.384, -18.8734
332.519554, 63.418, -19.2460
332.885765, 63.451, -19.6083
333.251976, 63.484, -19.9607
333.618187, 63.517, -20.3033
333.984398, 63.549, -20.6366
334.350609, 63.582, -20.9609
334.716820, 63.613, -21.2765
335.083031, 63.645, -21.5836
335.449242, 63.677, -21.8827
335.815453, 63.708, -22.1738
336.181664, 63.739, -22.4574
336.547875, 63.770, -22.7338
336.914086, 63.801, -23.0032
337.280297, 63.832, -23.2659
337.646508, 63.863, -23.5221
338.012719, 63.894, -23.7722
338.378930, 63.924, -24.0165
338.745141, 63.955, -24.2552
339.111352, 63.985, -24.4885
339.477563, 64.015, -24.7168
339.843774, 64.046, -24.9404
340.209985, 64.076, -25.1594
340.576196, 64.106, -25.3741
340.942406, 64.137, -25.5850
341.308617, 64.167, -25.7920
341.674828, 64.197, -25.9955
342.041039, 64.227, -26.1958
342.407250, 64.257, -26.3932
342.773461, 64.287, -26.5878
343.139672, 64.318, -26.7799
343.505883, 64.348, -26.9698
343.872094, 64.378, -27.1576
344.238305, 64.408, -27.3438
344.604516, 64.438, -27.5282
344.970727, 64.468, -27.7113
345.336938, 64.498, -27.8932
345.703149, 64.528, -28.0741
346.069360, 64.558, -28.2544
346.435571, 64.588, -28.4340
