* Measurement data measured by REW V5.20.4
* Source: Dec 16 Filtered
* Format: 
* Dated: Dec 18, 2021 7:00:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 111.9 dB
* Note: ; Delay -0.0213 ms (-7.3 mm, -0.29 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset PK       Fc   316.0 Hz  Gain -12.30 dB  Q  5.000 PK       Fc   182.0 Hz  Gain  -9.00 dB  Q 10.000
* Measurement: EQ Dec 16
* Smoothing: 1/3 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 50.13199 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
163.854218, 111.776, 88.7438
164.190674, 111.783, 88.1302
164.527130, 111.790, 87.5120
164.863586, 111.797, 86.8894
165.200043, 111.805, 86.2623
165.536499, 111.813, 85.6311
165.872955, 111.821, 84.9961
166.209412, 111.830, 84.3573
166.545868, 111.839, 83.7150
166.882324, 111.848, 83.0693
167.218781, 111.857, 82.4207
167.555237, 111.866, 81.7693
167.891693, 111.875, 81.1150
168.228149, 111.885, 80.4585
168.564606, 111.894, 79.7998
168.901062, 111.903, 79.1393
169.237518, 111.912, 78.4771
169.573975, 111.921, 77.8132
169.910431, 111.930, 77.1484
170.246887, 111.939, 76.4827
170.583344, 111.948, 75.8162
170.919800, 111.956, 75.1492
171.256256, 111.965, 74.4819
171.592712, 111.973, 73.8148
171.929169, 111.980, 73.1479
172.265625, 111.988, 72.4817
172.602081, 111.995, 71.8160
172.938538, 112.002, 71.1515
173.274994, 112.009, 70.4882
173.611450, 112.016, 69.8263
173.947906, 112.022, 69.1661
174.284363, 112.028, 68.5079
174.620819, 112.033, 67.8518
174.957275, 112.039, 67.1980
175.293732, 112.044, 66.5469
175.630188, 112.048, 65.8984
175.966644, 112.053, 65.2531
176.303101, 112.057, 64.6108
176.639557, 112.061, 63.9718
176.976013, 112.065, 63.3364
177.312469, 112.068, 62.7046
177.648926, 112.072, 62.0767
177.985382, 112.075, 61.4526
178.321838, 112.078, 60.8328
178.658295, 112.080, 60.2170
178.994751, 112.083, 59.6057
179.331207, 112.085, 58.9988
179.667664, 112.088, 58.3965
180.004120, 112.090, 57.7987
180.340576, 112.092, 57.2057
180.677032, 112.094, 56.6174
181.013489, 112.096, 56.0339
181.349945, 112.098, 55.4553
181.686401, 112.101, 54.8815
182.022858, 112.103, 54.3126
182.359314, 112.105, 53.7485
182.695770, 112.107, 53.1893
183.032227, 112.110, 52.6350
183.368683, 112.112, 52.0856
183.705139, 112.115, 51.5408
184.041595, 112.118, 51.0007
184.378052, 112.121, 50.4655
184.714508, 112.124, 49.9347
185.050964, 112.128, 49.4084
185.387421, 112.132, 48.8866
185.723877, 112.136, 48.3691
186.060333, 112.140, 47.8560
186.396790, 112.145, 47.3468
186.733246, 112.150, 46.8417
187.069702, 112.155, 46.3406
187.406158, 112.161, 45.8431
187.742615, 112.167, 45.3492
188.079071, 112.173, 44.8590
188.415527, 112.180, 44.3721
188.751984, 112.187, 43.8883
189.088440, 112.195, 43.4077
189.424896, 112.203, 42.9299
189.761353, 112.211, 42.4551
190.097809, 112.220, 41.9828
190.434265, 112.229, 41.5129
190.770721, 112.238, 41.0455
191.107178, 112.248, 40.5803
191.443634, 112.259, 40.1172
191.780090, 112.269, 39.6559
192.116547, 112.281, 39.1964
192.453003, 112.292, 38.7385
192.789459, 112.304, 38.2822
193.125916, 112.316, 37.8273
193.462372, 112.329, 37.3735
193.798828, 112.342, 36.9209
194.135284, 112.355, 36.4692
194.471741, 112.369, 36.0186
194.808197, 112.383, 35.5685
195.144653, 112.397, 35.1191
195.481110, 112.412, 34.6704
195.817566, 112.426, 34.2220
196.154022, 112.442, 33.7740
196.490479, 112.457, 33.3263
196.826935, 112.473, 32.8787
197.163391, 112.489, 32.4312
197.499847, 112.505, 31.9836
197.836304, 112.521, 31.5360
198.172760, 112.538, 31.0883
198.509216, 112.555, 30.6403
198.845673, 112.572, 30.1920
199.182129, 112.589, 29.7433
199.518585, 112.606, 29.2942
199.855042, 112.623, 28.8447
200.191498, 112.641, 28.3947
200.527954, 112.659, 27.9440
200.864410, 112.676, 27.4927
201.200867, 112.694, 27.0408
201.537323, 112.712, 26.5881
201.873779, 112.730, 26.1348
202.210236, 112.748, 25.6807
202.546692, 112.766, 25.2257
202.883148, 112.784, 24.7699
203.219604, 112.802, 24.3132
203.556061, 112.820, 23.8558
203.892517, 112.838, 23.3975
204.228973, 112.856, 22.9382
204.565430, 112.873, 22.4781
204.901886, 112.891, 22.0172
205.238342, 112.909, 21.5554
205.574799, 112.926, 21.0927
205.911255, 112.944, 20.6293
206.247711, 112.961, 20.1649
206.584167, 112.978, 19.6998
206.920624, 112.995, 19.2341
207.257080, 113.012, 18.7676
207.593536, 113.028, 18.3004
207.929993, 113.044, 17.8328
208.266449, 113.060, 17.3645
208.602905, 113.076, 16.8958
208.939362, 113.092, 16.4268
209.275818, 113.107, 15.9573
209.612274, 113.122, 15.4877
209.948730, 113.136, 15.0179
210.285187, 113.151, 14.5481
210.621643, 113.165, 14.0784
210.958099, 113.178, 13.6088
211.294556, 113.192, 13.1394
211.631012, 113.204, 12.6705
211.967468, 113.217, 12.2021
212.303925, 113.229, 11.7344
212.640381, 113.241, 11.2673
212.976837, 113.252, 10.8013
213.313293, 113.263, 10.3362
213.649750, 113.273, 9.8722
213.986206, 113.283, 9.4097
214.322662, 113.292, 8.9486
214.659119, 113.301, 8.4891
214.995575, 113.309, 8.0315
215.332031, 113.317, 7.5758
215.668488, 113.325, 7.1222
216.004944, 113.332, 6.6708
216.341400, 113.338, 6.2219
216.677856, 113.344, 5.7755
217.014313, 113.349, 5.3320
217.350769, 113.354, 4.8914
217.687225, 113.358, 4.4539
218.023682, 113.361, 4.0195
218.360138, 113.365, 3.5887
218.696594, 113.367, 3.1615
219.033051, 113.369, 2.7380
219.369507, 113.370, 2.3186
219.705963, 113.371, 1.9032
220.042419, 113.371, 1.4921
220.378876, 113.371, 1.0854
220.715332, 113.370, 0.6833
221.051788, 113.368, 0.2860
221.388245, 113.366, -0.1063
221.724701, 113.363, -0.4937
222.061157, 113.360, -0.8757
222.397614, 113.356, -1.2524
222.734070, 113.351, -1.6237
223.070526, 113.346, -1.9891
223.406982, 113.340, -2.3489
223.743439, 113.334, -2.7028
224.079895, 113.327, -3.0505
224.416351, 113.319, -3.3923
224.752808, 113.311, -3.7277
225.089264, 113.302, -4.0568
225.425720, 113.293, -4.3794
225.762177, 113.283, -4.6954
226.098633, 113.273, -5.0050
226.435089, 113.262, -5.3077
226.771545, 113.251, -5.6038
227.108002, 113.239, -5.8929
227.444458, 113.226, -6.1753
227.780914, 113.213, -6.4507
228.117371, 113.200, -6.7192
228.453827, 113.186, -6.9808
228.790283, 113.172, -7.2355
229.126740, 113.157, -7.4832
229.463196, 113.142, -7.7240
229.799652, 113.126, -7.9579
230.136108, 113.110, -8.1849
230.472565, 113.094, -8.4052
230.809021, 113.077, -8.6187
231.145477, 113.060, -8.8254
231.481934, 113.042, -9.0256
231.818390, 113.025, -9.2194
232.154846, 113.007, -9.4067
232.491302, 112.988, -9.5878
232.827759, 112.970, -9.7627
233.164215, 112.951, -9.9315
233.500671, 112.932, -10.0946
233.837128, 112.913, -10.2520
234.173584, 112.894, -10.4038
234.510040, 112.875, -10.5502
234.846497, 112.855, -10.6915
235.182953, 112.836, -10.8279
235.519409, 112.816, -10.9595
235.855865, 112.796, -11.0865
236.192322, 112.777, -11.2092
236.528778, 112.757, -11.3279
236.865234, 112.738, -11.4425
237.201691, 112.718, -11.5536
237.538147, 112.699, -11.6614
237.874603, 112.680, -11.7659
238.211060, 112.660, -11.8676
238.547516, 112.641, -11.9664
238.883972, 112.623, -12.0631
239.220428, 112.604, -12.1575
239.556885, 112.586, -12.2500
239.893341, 112.568, -12.3408
240.229797, 112.550, -12.4302
240.566254, 112.532, -12.5184
240.902710, 112.515, -12.6058
241.239166, 112.498, -12.6925
241.575623, 112.481, -12.7787
241.912079, 112.465, -12.8646
242.248535, 112.449, -12.9507
242.584991, 112.434, -13.0369
242.921448, 112.419, -13.1237
243.257904, 112.404, -13.2109
243.594360, 112.390, -13.2992
243.930817, 112.376, -13.3885
244.267273, 112.362, -13.4791
244.603729, 112.349, -13.5712
244.940186, 112.337, -13.6648
245.276642, 112.325, -13.7603
245.613098, 112.313, -13.8577
245.949554, 112.302, -13.9573
246.286011, 112.291, -14.0591
246.622467, 112.281, -14.1632
246.958923, 112.272, -14.2700
247.295380, 112.262, -14.3794
247.631836, 112.254, -14.4916
247.968292, 112.246, -14.6067
248.304749, 112.238, -14.7249
248.641205, 112.231, -14.8461
248.977661, 112.224, -14.9705
249.314117, 112.218, -15.0981
249.650574, 112.212, -15.2291
249.987030, 112.207, -15.3635
250.323486, 112.202, -15.5015
250.659943, 112.198, -15.6429
250.996399, 112.194, -15.7880
251.332855, 112.191, -15.9366
251.669312, 112.188, -16.0890
252.005768, 112.185, -16.2451
252.342224, 112.183, -16.4049
252.678680, 112.182, -16.5685
253.015137, 112.180, -16.7358
253.351593, 112.180, -16.9070
253.688049, 112.179, -17.0819
254.024506, 112.179, -17.2607
254.360962, 112.180, -17.4434
254.697418, 112.181, -17.6298
255.033875, 112.182, -17.8201
255.370331, 112.183, -18.0140
255.706787, 112.185, -18.2119
256.043243, 112.187, -18.4136
256.379700, 112.190, -18.6189
256.716156, 112.193, -18.8280
257.052612, 112.196, -19.0409
257.389069, 112.199, -19.2573
257.725525, 112.203, -19.4775
258.061981, 112.207, -19.7013
258.398438, 112.211, -19.9287
258.734894, 112.216, -20.1595
259.071350, 112.220, -20.3940
259.407806, 112.225, -20.6320
259.744263, 112.230, -20.8733
260.080719, 112.236, -21.1180
260.417175, 112.241, -21.3661
260.753632, 112.247, -21.6173
261.090088, 112.252, -21.8719
261.426544, 112.258, -22.1296
261.763000, 112.264, -22.3905
262.099457, 112.270, -22.6545
262.435913, 112.277, -22.9214
262.772369, 112.283, -23.1913
263.108826, 112.289, -23.4641
263.445282, 112.296, -23.7397
263.781738, 112.302, -24.0182
264.118195, 112.309, -24.2993
264.454651, 112.316, -24.5830
264.791107, 112.322, -24.8694
265.127563, 112.329, -25.1582
265.464020, 112.336, -25.4495
265.800476, 112.342, -25.7432
266.136932, 112.349, -26.0391
266.473389, 112.355, -26.3373
266.809845, 112.362, -26.6377
267.146301, 112.368, -26.9401
267.482758, 112.375, -27.2446
267.819214, 112.381, -27.5510
268.155670, 112.388, -27.8594
268.492126, 112.394, -28.1696
268.828583, 112.400, -28.4814
269.165039, 112.406, -28.7949
269.501495, 112.412, -29.1101
269.837952, 112.418, -29.4268
270.174408, 112.424, -29.7449
270.510864, 112.430, -30.0643
270.847321, 112.436, -30.3851
271.183777, 112.441, -30.7072
271.520233, 112.446, -31.0304
271.856689, 112.452, -31.3547
272.193146, 112.457, -31.6801
272.529602, 112.462, -32.0063
272.866058, 112.467, -32.3335
273.202515, 112.471, -32.6614
273.538971, 112.476, -32.9901
273.875427, 112.480, -33.3195
274.211884, 112.485, -33.6495
274.548340, 112.489, -33.9801
274.884796, 112.493, -34.3110
275.221252, 112.496, -34.6425
275.557709, 112.500, -34.9742
275.894165, 112.503, -35.3062
276.230621, 112.507, -35.6384
276.567078, 112.510, -35.9707
276.903534, 112.513, -36.3032
277.239990, 112.516, -36.6356
277.576447, 112.518, -36.9680
277.912903, 112.521, -37.3002
278.249359, 112.523, -37.6323
278.585815, 112.525, -37.9641
278.922272, 112.527, -38.2955
279.258728, 112.529, -38.6267
279.595184, 112.530, -38.9574
279.931641, 112.532, -39.2875
280.268097, 112.533, -39.6172
280.604553, 112.534, -39.9462
280.941010, 112.535, -40.2744
281.277466, 112.536, -40.6019
281.613922, 112.536, -40.9287
281.950378, 112.537, -41.2545
